Complex,Subunit Name,Subunit Stoichiometry,Subunit ID
caf1_yeast,MSI1,1,YBR195C
trappi_yeast,TRS23,1,YDR246W
trappi_yeast,TRS33,1,YOR115C
trappi_yeast,TRS31,1,YDR472W
trappi_yeast,BET5,1,YML077W
trappi_yeast,BET3,2,YKR068C
trappi_yeast,TRS20,1,YBR254C
escrtii_yeast,VPS36,1,YLR417W
escrtii_yeast,VPS25,2,YJR102C
escrtii_yeast,SNF8,1,YPL002C
rnapol_common_subunits,RPB10,1,YOR210W
rnapol_common_subunits,RPB8,1,YOR224C
rnapol_common_subunits,RPB5,1,YBR154C
rnapol_common_subunits,RPO26,1,YPR187W
rnapol_common_subunits,RPC10,1,YHR143W-A
mus81-mms4_yeast,MMS4,3,YBR098W
mus81-mms4_yeast,MUS81,3,YDR386W
mind_yeast,MTW1,1,YAL034W-A
mind_yeast,NNF1,1,YJR112W
mind_yeast,DSN1,1,YIR010W
mind_yeast,NSL1,1,YPL233W
sm_yeast_FEG_trimer,SME1,1,YOR159C
sm_yeast_FEG_trimer,SMX2,1,YFL017W-A
sm_yeast_FEG_trimer,SMX3,1,YPR182W
rnapoli_iii_common_subunits,RPC19,1,YNL113W
rnapoli_iii_common_subunits,RPC40,1,YPR110C
escrti_yeast,STP22,1,YCL008C
escrti_yeast,SRN2,1,YLR119W
escrti_yeast,VPS28,1,YPL065W
escrti_yeast,MVB12,1,YGR206W
ste4-ste18_yeast,STE4,1,YOR212W
ste4-ste18_yeast,STE18,1,YJR086W
trna_splice_yeast,SEN54,1,YPL083C
trna_splice_yeast,SEN15,1,YMR059W
trna_splice_yeast,SEN34,1,YAR008W
trna_splice_yeast,SEN2,1,YLR105C
V-ATPase,VMA5,1,YKL080W
V-ATPase,VMA10,3,YHR039C-A
V-ATPase,VMA8,1,YEL051W
V-ATPase,VMA13,1,YPR036W
V-ATPase,VMA1,3,YDL185W
V-ATPase,VMA4,3,YOR332W
V-ATPase,VMA7,1,YGR020C
V-ATPase,VMA3,8,YEL027W
V-ATPase,VMA6,1,YLR447C
V-ATPase,VPH1,1,YOR270C
V-ATPase,VMA11,1,YPL234C
V-ATPase,VMA2,3,YBR127C
V-ATPase,VMA9,1,YCL005W-A
V-ATPase,VMA16,1,YHR026W
nfs1-isd11_yeast,NFS1,3,YCL017C
nfs1-isd11_yeast,ISD11,3,YER048W-A
cp_yeast,CAP1,1,YKL007W
cp_yeast,CAP2,1,YIL034C
19S Proteasome,RPN7,1,YPR108W
19S Proteasome,RPN6,1,YDL097C
19S Proteasome,RPN13,1,YLR421C
19S Proteasome,RPN5,1,YDL147W
