gene.names,s.coeff.nominal,s.error,s.coeff.nacl,s.error.nacl
wt-cfp_179,-5.07068827259329e-05,0.00225610454078095,0.00293801646623496,0.00210687271057912
wt-cfp_100,-2.71813419701382e-06,0.00118081260494582,0.000451334668612933,0.0014655286245181
wt-cfp_142,-1.82798105806447e-06,0.00225599264312644,0.00570354385122399,0.00231904745136535
wt-rfp_91,1.82798105806447e-06,0.00101069202532883,-0.00449891980180942,0.00208010875386323
wt-cfp_138,6.52309916148817e-05,0.000857758342591147,0.00178520282572622,0.00127877654351135
wt-rfp_29,9.13465059138511e-05,0.00147617162870837,-0.000203001921104028,0.00305255743732426
wt-rfp_70,0.000106153783832615,0.00259673244742086,-0.000247233334325619,0.00304236011154034
wt-cfp_153,0.000147824331798918,0.00196855508504381,-0.00654264892053913,0.00388421990923125
wt-rfp_8,0.000214951641947061,0.00302530348146031,-0.00218725750945592,0.00137492278137499
wt-rfp_2,0.000258136868320066,0.00145440071115827,-0.00237161860784284,0.00277011876420669
wt-rfp_27,0.00028137224712484,0.00214357034921738,-0.00228305300970537,0.0028720731792212
wt-rfp_10,0.000296549217961299,0.00223100216052678,-0.000483495294456406,0.00222653918282401
wt-cfp_113,0.000326521249699515,0.00297640077904036,0.000851902562998647,0.00292497221990885
wt-cfp_165,0.000345596118212626,0.00181274077234398,0.000196950786594608,0.0033535597314754
wt-rfp_88,0.00034745471590411,0.00204574072970919,-0.00104079080814091,0.000906900134529401
wt-rfp_89,0.000369212530549864,0.00132168327654874,0.00136742968647064,0.0013195496328113
wt-cfp_176,0.000414363280579739,0.00175075990003458,0.00284606218388674,0.00354846236225059
wt-cfp_147,0.000460610641461536,0.002695648390461,4.80531492751922e-05,0.00166941637658082
wt-rfp_34,0.000491389917485081,0.00206709670458892,-0.00127907730799437,0.00367860228088825
wt-cfp_150,0.000500269974120289,0.00195879352111077,0.00289448695778302,0.000811478199245703
wt-rfp_35,0.000520267017378141,0.00272655328945784,0.00121012871079924,0.00257426670863403
wt-rfp_40,0.000528714135558481,0.00152893781752908,0,0.00129727023436506
wt-rfp_75,0.000535168517065753,0.00266968767302594,-0.00327857447853472,0.00369709327454655
wt-rfp_82,0.000551009174260755,0.00167126544539859,0.00249691990820587,0.00162325864277636
wt-cfp_103,0.000603707463989602,0.00293123861639648,-0.00334350796704498,0.000641483776235483
wt-cfp_125,0.000636429459357932,0.00249365726942727,0.00186944448913893,0.00137250483460979
