Experiment Name,Plate Name,Record Date,$OP,GUID,Well Name,PLATE ID,All Events Parent Name,All Events #Events,All Events %Parent,All Events %Grand Parent,All Events %Total,All Events mCherry-A Mean,All Events mCherry-A Median,All Events mCherry-A SD,All Events CFP-A Mean,All Events CFP-A Median,All Events CFP-A SD,P3 Parent Name,P3 #Events,P3 %Parent,P3 %Grand Parent,P3 %Total,P3 mCherry-A Mean,P3 mCherry-A Median,P3 mCherry-A SD,P3 CFP-A Mean,P3 CFP-A Median,P3 CFP-A SD,P4 Parent Name,P4 #Events,P4 %Parent,P4 %Grand Parent,P4 %Total,P4 mCherry-A Mean,P4 mCherry-A Median,P4 mCherry-A SD,P4 CFP-A Mean,P4 CFP-A Median,P4 CFP-A SD
MoBY_references,PL6_complex_day04,"Mar 18, 2018 4:41:17 PM",Administrator ,791c5802-3f09-469d-94ec-a4ddfcc2e959 ,F5,27fd9cd0-399d-4100-a12d-6e7817194ef4,,10000,,,,12343,9285,14137,4707,2676,5993,All Events,1737,17.4,,17.4,15,15,69,11475,8512,9185,All Events,8079,80.8,,80.8,15213,11681,13943,3249,2153,3549
MoBY_references,PL6_complex_day04,"Mar 18, 2018 4:41:25 PM",Administrator ,0abcdf73-e55e-4390-9848-77e1cc3f82ee ,F6,27fd9cd0-399d-4100-a12d-6e7817194ef4,,10000,,,,11312,6821,16080,6408,3956,7454,All Events,3387,33.9,,33.9,21,18,49,11406,8596,8646,All Events,6351,63.5,,63.5,17738,12988,16947,3768,2372,4098
MoBY_references,PL6_complex_day04,"Mar 18, 2018 4:41:33 PM",Administrator ,5d01e694-aa58-41a7-b645-c6aba86faf61 ,F7,27fd9cd0-399d-4100-a12d-6e7817194ef4,,10000,,,,6514,79,11976,9546,5876,12292,All Events,5625,56.3,,56.3,26,20,53,13519,9668,11743,All Events,4091,40.9,,40.9,15784,12072,14052,3522,2141,4405
MoBY_references,PL6_complex_day04,"Mar 18, 2018 4:41:40 PM",Administrator ,5aef21d9-d966-49bb-95a2-c56dc4f914f4 ,F8,27fd9cd0-399d-4100-a12d-6e7817194ef4,,10000,,,,9365,5717,13242,6447,3904,7932,All Events,3850,38.5,,38.5,12,14,57,11403,8643,8909,All Events,5944,59.4,,59.4,15649,12064,13533,3204,2125,3555
MoBY_references,PL6_complex_day04,"Mar 18, 2018 4:41:48 PM",Administrator ,f2540643-849a-465c-962e-8aa1cbba3d72 ,F9,27fd9cd0-399d-4100-a12d-6e7817194ef4,,10000,,,,11390,7422,16169,5806,3340,7515,All Events,3409,34.1,,34.1,21,19,49,11065,8179,8647,All Events,6408,64.1,,64.1,17562,13288,16154,2949,1849,3454
MoBY_references,PL6_complex_day04,"Mar 18, 2018 4:41:55 PM",Administrator ,aef0ad97-78ca-4b67-b859-cdf5f5825f97 ,F10,27fd9cd0-399d-4100-a12d-6e7817194ef4,,10000,,,,11006,7707,14422,5409,2819,7579,All Events,2852,28.5,,28.5,8,11,61,11432,8241,9613,All Events,6903,69.0,,69.0,15779,12183,13850,2876,1803,3515
MoBY_references,PL6_complex_day04,"Mar 18, 2018 4:42:03 PM",Administrator ,95a13b51-b839-4974-95d0-e6f439dbbdfe ,F11,27fd9cd0-399d-4100-a12d-6e7817194ef4,,10000,,,,5219,50,10738,9245,6572,9550,All Events,6442,64.4,,64.4,21,18,46,11701,8748,9450,All Events,3295,33.0,,33.0,15753,12268,13575,4528,2903,5145
MoBY_references,PL6_complex_day04,"Mar 18, 2018 4:42:10 PM",Administrator ,1649310d-adeb-434c-9035-12c691e99793 ,F12,27fd9cd0-399d-4100-a12d-6e7817194ef4,,10000,,,,12812,8917,17120,5146,2341,7630,All Events,2672,26.7,,26.7,8,18,77,11670,8648,9445,All Events,7011,70.1,,70.1,18052,13366,16877,2536,1561,3403
MoBY_references,PL6_complex_day04,"Mar 18, 2018 4:42:18 PM",Administrator ,f8773eca-6592-47c0-b8e8-28b806e6ed0d ,G1,27fd9cd0-399d-4100-a12d-6e7817194ef4,,10000,,,,9871,5786,13945,6156,3704,7675,All Events,3884,38.8,,38.8,11,10,63,10937,8158,8597,All Events,5868,58.7,,58.7,16636,12870,13750,3005,1880,3737
MoBY_references,PL6_complex_day04,"Mar 18, 2018 4:42:25 PM",Administrator ,897a35f0-acb8-4842-9058-7b2416747486 ,G2,27fd9cd0-399d-4100-a12d-6e7817194ef4,,10000,,,,13971,10763,15264,3899,2185,5224,All Events,1751,17.5,,17.5,-7,4,78,10239,7886,8135,All Events,8074,80.7,,80.7,17295,13402,15205,2528,1764,2776
MoBY_references,PL6_complex_day04,"Mar 18, 2018 4:42:33 PM",Administrator ,ffe520f8-8167-4d02-a86d-aa55d1fe0c84 ,G3,27fd9cd0-399d-4100-a12d-6e7817194ef4,,10000,,,,3993,37,11007,10195,7112,11183,All Events,7266,72.7,,72.7,22,18,45,12270,8926,9971,All Events,2516,25.2,,25.2,15453,11541,14969,3850,2338,4591
MoBY_references,PL6_complex_day04,"Mar 18, 2018 4:42:41 PM",Administrator ,2571dfab-84a3-4588-ab59-6854baedd82b ,G4,27fd9cd0-399d-4100-a12d-6e7817194ef4,,10000,,,,5228,54,10419,9277,6214,10107,All Events,6202,62.0,,62.0,22,19,44,12263,8722,10201,All Events,3565,35.7,,35.7,14582,11081,12968,3969,2429,4586
MoBY_references,PL6_complex_day04,"Mar 18, 2018 4:42:49 PM",Administrator ,b63fa835-1579-4f93-af96-de8681f14285 ,G5,27fd9cd0-399d-4100-a12d-6e7817194ef4,,10000,,,,6883,3494,10442,6822,4544,7846,All Events,4346,43.5,,43.5,21,18,50,10998,8203,8619,All Events,5425,54.3,,54.3,12603,9651,10806,3483,2270,3670
MoBY_references,PL6_complex_day04,"Mar 18, 2018 4:42:58 PM",Administrator ,3f357fdc-481d-41a3-b364-d5546c29ece2 ,G6,27fd9cd0-399d-4100-a12d-6e7817194ef4,,10000,,,,4092,40,9790,8585,5717,9915,All Events,6235,62.4,,62.4,22,19,45,11603,8280,10124,All Events,2768,27.7,,27.7,14588,11158,13003,3951,2445,4564
MoBY_references,PL6_complex_day04,"Mar 18, 2018 4:43:06 PM",Administrator ,918517ac-2d6f-42ae-b4d8-384e40947ae9 ,G7,27fd9cd0-399d-4100-a12d-6e7817194ef4,,10000,,,,11635,7313,16033,6318,3764,8073,All Events,3314,33.1,,33.1,13,12,58,11647,8317,9600,All Events,6440,64.4,,64.4,17945,13188,16393,3558,2117,4057
MoBY_references,PL6_complex_day04,"Mar 18, 2018 4:43:14 PM",Administrator ,eadfc3ba-2eb0-46c3-bcbf-f84627ea0f43 ,G8,27fd9cd0-399d-4100-a12d-6e7817194ef4,,10000,,,,5391,56,10492,10108,6710,11123,All Events,6218,62.2,,62.2,24,21,45,13612,9862,10992,All Events,3540,35.4,,35.4,15084,11974,12509,3960,2504,4519
